scrip_code,symbol
541778,DEEP
541771,AMINTAN
541770,CREDITACC
541741,FRATELLI
541735,VIVANTA
541729,HDFCAMC
541703,RACONTEUR
541702,ASHNI
541701,SUPERSHAKT
541634,RAWEDGE
541633,STRAEXPO
541627,GUJWIND
541601,RAJNISH
541578,VARROC
541557,FINEORG
541556,RITES
541546,GAYAHWS
541540,SOLARA
541503,UNICK
541450,ADANIGREEN
541445,WAA
541444,PALMJEWELS
541418,NGIL
541403,DOLLAR
541402,AFFORDABLE
541400,ZIMLAB
541358,UCIL
541353,INNOVATORS
541352,MEGASTAR
541347,PARVATI
541338,UHZAVERI
541337,MILEFUR
541336,INDOSTAR
541313,BSE500IETF
541304,INDOUS
541303,AKSHAR
541302,DHRUV
541301,ORIENTELEC
541300,INTERISE
541299,DLCL
541276,HARDWYN
541269,CHEMFAB
541233,LEMONTREE
541228,TRL
541206,OBCL
541196,LEX
541195,MIDHANI
541178,BENARA
541167,YASHO
541163,SANDHAR
541154,HAL
541153,BANDHANBNK
541152,GOYALALUM
541144,ACTIVE
541143,BDL
541133,ACFL
541112,SHREESHAY
541096,BPLPHARMA
541083,INFLAME
541019,HGINFRA
541006,ANGEL
541005,KANCOTEA
540980,YSL
540975,ASTERDM
540961,SHIVAMILLS
540956,BHATIA
540954,IWP
540953,KENVI
540952,LAL
540938,GUJHYSPIN
540937,MEDICO
540936,GGL
540935,GALAXYSURF
540923,ASHOKAMET
540914,SRUSTEELS
